iter	Passed	Remaining
0	146	73042
1	176	44026
2	225	37424
3	247	30710
4	275	27256
5	303	24988
6	330	23272
7	363	22334
8	422	23034
9	482	23629
10	526	23392
11	564	22939
12	585	21949
13	619	21502
14	652	21109
15	680	20582
16	716	20356
17	768	20581
18	821	20788
19	873	20975
20	914	20860
21	945	20541
22	981	20361
23	1019	20219
24	1057	20099
25	1103	20120
26	1129	19784
27	1183	19943
28	1216	19760
29	1235	19350
30	1265	19141
31	1301	19027
32	1331	18841
33	1353	18552
34	1370	18205
35	1417	18270
36	1476	18480
37	1516	18437
38	1547	18297
39	1574	18101
40	1617	18106
41	1678	18299
42	1713	18215
43	1750	18139
44	1777	17971
45	1817	17938
46	1855	17883
47	1875	17664
48	1908	17566
49	1930	17378
50	1964	17294
51	2010	17323
52	2035	17167
53	2108	17412
54	2130	17240
55	2205	17484
56	2285	17761
57	2315	17647
58	2340	17495
59	2382	17473
60	2404	17302
61	2425	17134
62	2459	17057
63	2486	16938
64	2523	16885
65	2543	16728
66	2589	16733
67	2620	16644
68	2666	16655
69	2720	16710
70	2748	16606
71	2775	16500
72	2824	16521
73	2876	16558
74	2926	16580
75	2960	16515
76	3000	16484
77	3047	16489
78	3070	16362
79	3123	16398
80	3172	16410
81	3220	16417
82	3240	16280
83	3301	16350
84	3346	16336
85	3375	16249
86	3424	16257
87	3454	16175
88	3519	16254
89	3544	16145
90	3570	16046
91	3594	15940
92	3647	15963
93	3679	15893
94	3733	15918
95	3797	15980
96	3852	16004
97	3907	16027
98	3929	15916
99	3960	15843
100	4016	15868
101	4069	15880
102	4106	15827
103	4174	15893
104	4228	15908
105	4249	15794
106	4287	15745
107	4351	15793
108	4397	15773
109	4447	15767
110	4494	15752
111	4516	15647
112	4551	15589
113	4575	15491
114	4632	15510
115	4672	15466
116	4725	15470
117	4754	15392
118	4821	15437
119	4851	15363
120	4882	15291
121	4937	15297
122	4972	15240
123	5007	15185
124	5068	15204
125	5109	15164
126	5134	15080
127	5194	15097
128	5237	15061
129	5294	15069
130	5342	15048
131	5404	15067
132	5479	15120
133	5532	15111
134	5580	15089
135	5598	14984
136	5616	14882
137	5668	14868
138	5815	15103
139	5832	14998
140	5848	14890
